"","track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","key","mode","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","cover_url"
"289","I Was Never There","The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,"705469769",30,70,"142",0,"27",114,"A#","Major",32,17,74,14,0,17,3,"https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730"
"330","LOKERA","Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,"471819764",72,64,"64",6,"3",102,"B","Minor",83,58,83,21,0,10,5,"Not Found"
"577","The Family Madrigal","Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,"184937148",20,38,"12",0,"0",141,"C#","Major",59,56,63,12,0,6,36,"Not Found"
"626","Arcade","Duncan Laurence",1,2019,3,7,6646,0,"991336132",107,47,"584",1,"",72,"A","Minor",45,27,33,82,0,14,4,"https://i.scdn.co/image/ab67616d0000b273a954408e456d4d9d410f448b"
"296","Sunroof","Nicky Youre, Dazy",2,2021,12,3,3741,17,"652704649",156,35,"110",19,"0",131,"A#","Major",77,84,71,35,0,15,4,"https://i.scdn.co/image/ab67616d0000b273ecd970d1d2623b6c7fc6080c"
"211","Abcdario","Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,"89933133",8,60,"4",1,"109",129,"G#","Major",70,42,43,78,0,11,3,"Not Found"
"553","Every Angel is Terrifying","The Weeknd",1,2022,1,7,715,0,"37307967",0,1,"2",0,"0",118,"","Major",44,52,94,11,0,4,29,"https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d"
"146","Stargirl Interlude","The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,"611700552",13,8,"5",0,"1",90,"F","Minor",59,52,48,38,5,10,11,"https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a"
"216","Eyes Closed","Ed Sheeran",1,2023,3,23,2915,30,"195576623",116,69,"107",3,"675",107,"D","Major",78,39,53,30,0,11,6,"https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796"
"112","Tak Segampang Itu","Anggi Marito",1,2022,12,2,213,6,"179659294",7,6,"0",0,"48",130,"F","Major",51,18,44,76,0,11,3,"https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f"
"773","Cooped Up (with Roddy Ricch)","Post Malone, Roddy Ricch",2,2022,5,12,2942,0,"271666301",42,28,"43",0,"0",125,"","Major",50,39,78,4,0,11,33,"https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97"
"227","Stand By Me (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",2,2023,5,26,381,5,"46065667",23,82,"6",0,"113",134,"B","Major",76,61,58,6,0,16,3,"https://i.scdn.co/image/ab67616d0000b2736234c2c6d4bb935839ac4719"
"503","Is There Someone Else?","The Weeknd",1,2022,1,7,2881,6,"391251368",13,89,"34",0,"3",135,"A","Minor",70,60,58,4,0,16,3,"https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d"
"386","VIBE (feat. Jimin of BTS)","TAEYANG, Jimin",2,2023,1,13,415,2,"152850295",15,40,"21",1,"15",100,"","Major",79,60,68,7,0,26,4,"https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328"
"891","THE SHADE","Rex Orange County",1,2022,3,11,1189,6,"244928911",17,10,"16",0,"4",120,"F","Major",90,73,51,39,0,9,6,"https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0"
"365","Sem Alianï¿½ï¿½a no ","MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,"93587665",6,1,"21",0,"1",83,"C#","Major",53,40,36,73,0,11,33,"Not Found"
"690","When I R.I.P.","Labrinth",1,2019,10,4,2578,0,"203680270",8,67,"66",0,"0",80,"G#","Minor",39,45,55,73,0,9,21,"https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867"
"464","Ghost in the Machine (feat. Phoebe Bridgers)","SZA, Phoebe Bridgers",2,2022,12,9,1634,0,"110073250",16,20,"4",0,"0",125,"F#","Major",62,59,43,84,3,11,5,"Not Found"
"271","All Of The Girls You Loved Before","Taylor Swift",1,2019,8,23,1282,6,"185240616",26,6,"19",0,"5",96,"D","Major",72,40,47,71,0,13,4,"https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17"
"150","El Gordo Trae El Mando","Chino Pacas",1,2023,1,27,539,21,"255932395",7,71,"4",2,"13",140,"G","Minor",74,96,80,18,0,5,5,"https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36"
"555","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,"1445941661",231,52,"612",6,"",90,"","Major",63,49,68,38,0,42,18,"https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431"
